Taxa;Project_phase;Plot_number;Longitude;Latitude;Survey_method;Position;Vegetation type;Pixel_value;Land_cover
Plant;2;11;-48.3872;-16.4906;plot;NA;Riparian forest;3;Forest Formation
Plant;2;12;-48.5626;-16.7759;plot;NA;Savanna;4;Savanna Formation
Plant;2;12;-48.5306;-16.7746;plot;NA;sdtf;3;Forest Formation
Plant;2;13;-48.5127;-16.5487;plot;NA;Savanna;4;Savanna Formation
Plant;2;13;-48.5031;-16.5396;plot;NA;Riparian forest;3;Forest Formation
Plant;2;14;-48.0969;-16.8895;plot;NA;Savanna;4;Savanna Formation
Plant;2;14;-48.0877;-16.8884;plot;NA;Riparian forest;3;Forest Formation
Plant;2;15;-49.0840;-16.8604;plot;NA;Savanna;4;Savanna Formation
Plant;2;15;-49.0845;-16.8718;plot;NA;sdtf;3;Forest Formation
Plant;2;16;-48.5404;-17.1145;plot;NA;Savanna;15;Pasture
Plant;2;16;-48.5137;-17.0548;plot;NA;Riparian forest;3;Forest Formation
Plant;2;17;-48.3598;-16.9112;plot;NA;Savanna;4;Savanna Formation
Plant;2;17;-48.3775;-16.8924;plot;NA;sdtf;3;Forest Formation
Plant;2;18;-48.2064;-17.0023;plot;NA;Savanna;3;Forest Formation
Plant;2;18;-48.2053;-16.9861;plot;NA;sdtf;3;Forest Formation
Plant;2;19;-48.4838;-16.6711;plot;NA;Savanna;4;Savanna Formation
Plant;2;19;-48.4932;-16.6734;plot;NA;sdtf;3;Forest Formation
Plant;2;20;-48.5077;-16.8297;plot;NA;Savanna;4;Savanna Formation
Plant;2;20;-48.4672;-16.8600;plot;NA;sdtf;3;Forest Formation
Plant;2;21;-48.6698;-16.1855;plot;NA;Savanna;4;Savanna Formation
Plant;2;21;-48.6700;-16.1847;plot;NA;sdtf;3;Forest Formation
Small mammal;2;P12;-48.5523;-16.7763;Tomahawk_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P13;-48.5043;-16.5387;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P13;-48.5004;-16.5382;Tomahawk_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P17;-48.3622;-16.9127;Tomahawk_live_trap;NA;NA;39;Soybean
Small mammal;2;P17;-48.3572;-16.9137;Tomahawk_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P18;-48.2079;-16.9958;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P19;-48.4884;-16.6740;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P19;-48.4830;-16.6730;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P2;-48.4654;-16.8582;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P2;-48.9608;-16.6586;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P2;-48.9625;-16.6597;Tomahawk_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P20;-48.4749;-16.8567;Sherman_live_trap;NA;NA;39;Soybean
Small mammal;2;P21;-48.6664;-16.1729;Tomahawk_live_trap;NA;NA;15;Pasture
Small mammal;2;P21;-48.6663;-16.1717;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P3;-48.7064;-16.7761;Tomahawk_live_trap;NA;NA;4;Savanna Formation
Small mammal;2;P3;-48.7025;-16.7768;Tomahawk_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P5;-48.7761;-16.2314;Tomahawk_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P5;-48.7832;-16.2323;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P6;-48.6735;-16.9018;Sherman_live_trap;NA;NA;4;Savanna Formation
Small mammal;2;P7;-48.9375;-17.0257;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P7;-48.9367;-17.0273;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P7;-48.9369;-17.0293;Sherman_live_trap;NA;NA;3;Forest Formation
Small mammal;2;P8;-48.6534;-16.6481;Sherman_live_trap;NA;NA;4;Savanna Formation
Small mammal;2;P9;-48.6424;-16.4534;Sherman_live_trap;NA;NA;3;Forest Formation
